target_ebops,method,measured_ebops,val_loss,val_acc,grad_global_norm,grad_near_zero_ratio,grad_first_last_ratio,grad_log_std,grad_batch_loss,one_step_loss_drop,trainable,verdict_reason,source_path
400,gradual,366.000000,0.917424,0.709229,1.417495e-01,0.983267,3.895589e-01,0.630565,0.890526,2.652341e-02,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/baseline/epoch=164744-val_acc=0.716-ebops=363-val_loss=0.896.keras
400,spectral_quant,407.000000,3.912400,0.187256,2.549953e+00,0.989934,9.334554e-01,0.669968,2.807725,0.000000e+00,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/spectral_quant/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target400-ebops404.weights.h5
400,sensitivity,405.000000,1.609438,0.208984,3.639701e-01,0.999338,3.638044e+11,11.526747,1.609438,0.000000e+00,0,"too_many_zero_grads,depth_imbalance",/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/sensitivity/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target400-ebops404.weights.h5
400,uniform,395.000000,1.609438,0.208984,1.098154e-02,0.999558,0.000000e+00,0.000000,1.609438,0.000000e+00,0,"too_many_zero_grads,depth_imbalance",/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/uniform/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-uniform-target400-ebops395.weights.h5
1500,gradual,1591.000000,0.736865,0.742432,1.358340e-01,0.931744,6.730080e-01,0.189368,0.705685,-3.356475e-02,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/baseline/epoch=107802-val_acc=0.753-ebops=1599-val_loss=0.708.keras
1500,spectral_quant,1523.000000,1.659992,0.208984,1.216805e+00,0.968521,2.417664e+00,0.578667,1.701965,0.000000e+00,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/spectral_quant/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target1500-ebops1520.weights.h5
1500,sensitivity,1498.000000,1.609438,0.208984,1.093213e+00,0.996026,1.093158e+12,12.003152,1.609438,0.000000e+00,0,"too_many_zero_grads,depth_imbalance",/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/sensitivity/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target1500-ebops1497.weights.h5
1500,uniform,1519.000000,1.659992,0.208984,1.216805e+00,0.968521,2.417664e+00,0.578667,1.701965,0.000000e+00,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/uniform/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-uniform-target1500-ebops1518.weights.h5
2500,gradual,2547.000000,0.711595,0.743896,7.956444e-02,0.870728,1.824680e+00,0.445249,0.685437,0.000000e+00,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/baseline/epoch=97276-val_acc=0.757-ebops=2534-val_loss=0.685.keras
2500,spectral_quant,2509.000000,1.641395,0.224854,1.577247e+00,0.916291,1.054152e+00,0.144521,1.652241,0.000000e+00,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/spectral_quant/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target2500-ebops2506.weights.h5
2500,sensitivity,2507.000000,1.609438,0.208984,1.533470e+00,0.994481,1.533430e+12,12.149699,1.609438,0.000000e+00,0,depth_imbalance,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/sensitivity/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target2500-ebops2500.weights.h5
2500,uniform,2501.000000,1.620217,0.219727,1.577236e+00,0.916336,1.054192e+00,0.144514,1.652241,0.000000e+00,1,ok: finite gradients + non-flat + depth-balanced,/home/changhong/prj/ElasticTraining/FPL/jsc/model_topo/pruned_models/uniform/epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-uniform-target2500-ebops2501.weights.h5
